Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
9.99,7.92,1.61,0.646,G5/G6V,19.483625,Giant
10.86,3.26,2.12,1.84,M1V:,18.426088,Giant
8.83,7.57,1.05,0.461,F3V,18.22548,Giant
7.72,24.8,0.89,0.613,G3IV,19.692257,Giant
8.81,3.17,1.03,0.872,G6III,16.315296,Dwarf
7.11,3.65,0.87,1.528,M4III:,14.921465,Dwarf
8.6,2.06,0.89,0.031,B9IV,15.169336,Giant
8.86,1.26,1.65,0.522,F2V,14.361853,Giant
9.45,9.77,1.51,0.689,G5IV/V,19.399473,Giant
9.56,5.64,2.42,0.679,G3V,18.316395,Giant
9.63,11.0,1.11,0.849,K0/K1V:,19.836964,Giant
7.49,3.34,0.85,0.212,A5V,15.108732,Giant
7.16,8.56,0.76,0.107,A1V,16.822369,Giant
7.54,4.0,1.05,0.478,F5V,15.550301,Giant
7.28,26.78,0.95,0.704,G2V SB,19.419054,Giant
7.54,5.51,0.83,1.106,K0III,16.245758,Dwarf
8.72,2.59,1.2,0.358,A7V,15.786499,Giant
8.89,-0.49,1.22,-0.14,B2V,12.340981,Giant
7.78,35.7,0.78,0.763,G8V SB,20.54334,Giant
7.48,3.7,0.79,0.982,G9III,15.321009,Dwarf
7.41,7.67,1.01,0.198,A3III/IV,16.833977,Giant
7.86,8.82,0.63,0.38,F2IV,17.587343,Giant
9.17,6.06,1.56,0.51,G2V,18.082363,Giant
9.2,9.8,1.68,0.526,F8V,19.15613,Giant
8.89,8.03,1.04,0.666,G3V,18.413578,Giant
8.22,3.1,1.72,0.0,A0IV/V,15.676808,Giant
9.47,8.37,1.26,0.558,G1V,19.083628,Giant
9.89,1.59,1.43,0.092,B2V,15.896986,Giant
6.13,9.39,0.91,0.994,G8III,15.993328,Dwarf
8.83,9.49,1.28,0.326,F3V,18.716331,Giant
9.32,3.1,1.46,1.065,G8/K0III/IV,16.776808,Giant
8.67,9.32,0.91,0.531,F5V,18.517078,Giant
3.77,1.05,0.49,0.67,F3Ia,8.875946,Dwarf
6.92,3.61,0.93,0.167,B8Ve,14.707537,Giant
8.94,4.11,0.78,0.427,F0IV,17.009209,Giant
6.73,12.44,2.03,-0.06,B9IV/V,17.204102,Giant
9.21,4.92,1.34,1.103,K0III,17.669827,Dwarf
8.55,10.09,1.26,0.689,G3V,18.569456,Giant
8.72,5.33,1.2,0.645,G0V,17.353638,Giant
2.84,3.32,0.75,0.271,B1Ib,10.44569,Dwarf
4.6,8.72,1.34,0.0,A0V,14.302582,Giant
8.77,8.46,1.13,0.626,G2V,18.406853,Giant
7.43,3.35,0.6,1.084,K1III,15.055223,Dwarf
8.19,2.96,1.09,0.047,A0V,15.546458,Giant
8.9,3.4,1.14,0.934,K0V,16.557394,Giant
8.73,4.08,1.3,0.254,A2/A3V,16.7833,Giant
8.29,15.15,0.65,0.565,F8V,19.192062,Giant
7.7,10.92,1.47,0.498,F5V,17.891113,Giant
6.99,4.25,0.78,1.187,K0III,15.131945,Dwarf
6.8,7.24,0.61,1.132,K0III,16.098694,Dwarf
